,Strombedarf,BHKW_el,PV,Strombezug,Waermepumpe_el
2019-08-08 23:00:00,-18.04,27.971719,0.0,0.0,-9.9317189
2019-08-09 00:00:00,-13.959999999999997,24.884151,0.0,0.0,-10.924151
2019-08-09 01:00:00,-11.520000000000001,22.690897,0.0,0.0,-11.170897
2019-08-09 02:00:00,-10.680000000000001,22.055222,0.0,0.0,-11.375222
2019-08-09 03:00:00,-11.079999999999998,22.357924,0.0,0.0,-11.277924
2019-08-09 04:00:00,-10.920000000000002,22.133896,0.31461143,0.0,-11.528507
2019-08-09 05:00:00,-11.559999999999999,19.844719,2.0123055,0.0,-10.297024
2019-08-09 06:00:00,-16.4,16.554457,8.5748725,0.0,-8.7293298
2019-08-09 07:00:00,-22.2512,9.508908,16.358899,0.0,-3.6166072
2019-08-09 08:00:00,-27.119999999999997,2.5185686,24.601431,0.0,-0.0
2019-08-09 09:00:00,-30.759999999999998,0.0,32.178326,0.0,-1.4183262
2019-08-09 10:00:00,-34.72,0.0,37.820526,0.0,-3.1005264
2019-08-09 11:00:00,-34.32,0.0,39.255534,0.0,-4.9355338
2019-08-09 12:00:00,-31.68,0.0,37.017149,0.0,-5.3371489
2019-08-09 13:00:00,-29.799999999999997,0.0,32.549215,0.0,-2.7492151
2019-08-09 14:00:00,-28.8,0.35534797,28.444652,0.0,-0.0
2019-08-09 15:00:00,-28.52,7.9451087,20.574891,0.0,-0.0
2019-08-09 16:00:00,-30.200000000000003,20.933425,9.2665746,0.0,-0.0
2019-08-09 17:00:00,-32.599999999999994,26.761178,5.8388216,0.0,-0.0
2019-08-09 18:00:00,-32.519999999999996,30.939313,1.5806867,0.0,-0.0
2019-08-09 19:00:00,-31.519999999999996,31.412586,0.10741365,0.0,-0.0
2019-08-09 20:00:00,-33.202,33.202,0.0,0.0,-0.0
2019-08-09 21:00:00,-31.16,31.16,0.0,0.0,-0.0
2019-08-09 22:00:00,-25.799999999999997,27.344529,0.0,0.0,-1.5445294
2019-08-09 23:00:00,-21.44,33.666378,0.0,0.0,-12.226378
2019-08-10 00:00:00,-18.64,31.894616,0.0,0.0,-13.254616
2019-08-10 01:00:00,-16.8,29.114335,0.0,0.0,-12.314335
2019-08-10 02:00:00,-16.56,26.157795,0.0,0.0,-9.5977946
2019-08-10 03:00:00,-18.0,26.900757,0.0,0.0,-8.9007568
2019-08-10 04:00:00,-24.6,30.902006,0.20974095,0.0,-6.5117473
2019-08-10 05:00:00,-37.2,38.746299,1.3926201,0.0,-2.9389193
2019-08-10 06:00:00,-48.7656,30.714258,7.6033477,10.447994,-0.0
2019-08-10 07:00:00,-55.663999999999994,13.336365,14.918332,27.409303,-0.0
2019-08-10 08:00:00,-59.418800000000005,0.86072123,21.492221,37.065857,-0.0
2019-08-10 09:00:00,-62.860400000000006,0.0,27.069598,35.790802,-0.0
2019-08-10 10:00:00,-65.3388,0.0,33.228154,32.110646,-0.0
2019-08-10 11:00:00,-64.788,0.0,35.541095,29.246905,-0.0
2019-08-10 12:00:00,-63.7056,0.0,35.38158,28.32402,-0.0
2019-08-10 13:00:00,-61.7736,0.0,32.406365,29.367235,-0.0
2019-08-10 14:00:00,-59.44559999999999,10.78258,22.389091,26.273929,-0.0
2019-08-10 15:00:00,-57.34759999999999,39.188752,18.158848,0.0,-0.0
2019-08-10 16:00:00,-55.67080000000001,43.228731,12.442069,0.0,-0.0
2019-08-10 17:00:00,-54.627599999999994,48.955764,5.671836,0.0,-0.0
2019-08-10 18:00:00,-53.064,51.3759,1.6881003,0.0,-0.0
2019-08-10 19:00:00,-48.7388,48.63393,0.10487048,0.0,-0.0
2019-08-10 20:00:00,-46.6968,46.6968,0.0,0.0,-0.0
2019-08-10 21:00:00,-39.64,39.64,0.0,0.0,-0.0
2019-08-10 22:00:00,-32.96,32.96,0.0,0.0,-0.0
2019-08-10 23:00:00,-26.706799999999998,26.7068,0.0,0.0,-0.0
2019-08-11 00:00:00,-25.240000000000002,25.24,0.0,0.0,-0.0
2019-08-11 01:00:00,-23.96,25.315785,0.0,0.0,-1.3557846
2019-08-11 02:00:00,-24.32,32.377384,0.0,0.0,-8.0573838
2019-08-11 03:00:00,-25.56,31.928303,0.0,0.0,-6.3683027
2019-08-11 04:00:00,-30.56,35.412277,0.20974095,0.0,-5.0620175
2019-08-11 05:00:00,-41.5664,42.888972,1.0487048,0.0,-2.3712769
2019-08-11 06:00:00,-52.017999999999994,49.992777,2.0974095,0.0,-0.072186295
2019-08-11 07:00:00,-59.34160000000001,55.04191,4.2996896,0.0,-0.0
2019-08-11 08:00:00,-63.0448,58.011017,5.0337829,0.0,-0.0
2019-08-11 09:00:00,-68.0972,68.0972,0.0,0.0,-0.0
2019-08-11 10:00:00,-70.8432,70.8432,0.0,0.0,-0.0
2019-08-11 11:00:00,-70.3964,70.3964,0.0,0.0,-0.0
2019-08-11 12:00:00,-68.57719999999999,68.5772,0.0,0.0,-0.0
2019-08-11 13:00:00,-67.7916,67.7916,0.0,0.0,-0.0
2019-08-11 14:00:00,-64.1532,64.1532,0.0,0.0,-0.0
2019-08-11 15:00:00,-58.02,58.02,0.0,0.0,-0.0
2019-08-11 16:00:00,-56.8216,56.8216,0.0,0.0,-0.0
2019-08-11 17:00:00,-55.4548,55.4548,0.0,0.0,-0.0
2019-08-11 18:00:00,-53.64,53.64,0.0,0.0,-0.0
2019-08-11 19:00:00,-49.3816,49.3816,0.0,0.0,-0.0
2019-08-11 20:00:00,-47.5208,47.5208,0.0,0.0,-0.0
2019-08-11 21:00:00,-40.5616,40.5616,0.0,0.0,-0.0
2019-08-11 22:00:00,-32.68,32.68,0.0,0.0,-0.0
2019-08-11 23:00:00,-26.72,31.987149,0.0,0.0,-5.2671486
