,BHKW_el,Strombedarf,Waermepumpe_el,Strombezug,PV
2019-01-08 17:00:00,126.76765,-72.5032,-54.264454,0.0,0.0
2019-01-08 18:00:00,125.49025,-70.8152,-54.675049,0.0,0.0
2019-01-08 19:00:00,131.30634,-67.95839999999998,-63.347935,0.0,0.0
2019-01-08 20:00:00,121.94551,-60.63080000000001,-61.314714,0.0,0.0
2019-01-08 21:00:00,113.41682,-54.4028,-59.014022,0.0,0.0
2019-01-08 22:00:00,108.54811,-51.636,-56.912108,0.0,0.0
2019-01-08 23:00:00,95.510919,-43.1172,-52.393719,0.0,0.0
2019-01-09 00:00:00,88.2064,-34.84,-53.3664,0.0,0.0
2019-01-09 01:00:00,82.343914,-30.759999999999998,-51.583914,0.0,0.0
2019-01-09 02:00:00,79.456735,-28.32,-51.136735,0.0,0.0
2019-01-09 03:00:00,79.715373,-29.119999999999997,-50.595373,0.0,0.0
2019-01-09 04:00:00,85.156324,-31.726,-53.430324,0.0,0.0
2019-01-09 05:00:00,96.08973,-38.84,-57.24973,0.0,0.0
2019-01-09 06:00:00,110.35204,-53.1028,-57.249243,0.0,0.0
2019-01-09 07:00:00,127.80432,-66.9976,-60.806724,0.0,0.0
2019-01-09 08:00:00,139.15872,-73.86280000000001,-65.32956,0.0,0.033636833
2019-01-09 09:00:00,135.10516,-74.8004,-60.439312,0.0,0.13454733
2019-01-09 10:00:00,130.93924,-76.3828,-54.892805,0.0,0.33636833
2019-01-09 11:00:00,129.58741,-76.8768,-53.181523,0.0,0.47091567
2019-01-09 12:00:00,129.09878,-74.9904,-54.343842,0.0,0.23545783
2019-01-09 13:00:00,122.48752,-72.7832,-49.973414,0.0,0.26909467
2019-01-09 14:00:00,122.24097,-70.2884,-52.120754,0.0,0.16818417
2019-01-09 15:00:00,122.35637,-69.6476,-52.77604,0.0,0.067273667
2019-01-09 16:00:00,124.97699,-71.9704,-53.006595,0.0,0.0
2019-01-09 17:00:00,128.8221,-76.5932,-52.228897,0.0,0.0
2019-01-09 18:00:00,127.59434,-74.97080000000001,-52.623535,0.0,0.0
2019-01-09 19:00:00,122.77968,-69.0668,-53.712876,0.0,0.0
2019-01-09 20:00:00,116.77799,-61.136,-55.641989,0.0,0.0
2019-01-09 21:00:00,111.96078,-54.770399999999995,-57.190378,0.0,0.0
2019-01-09 22:00:00,104.6157,-47.8148,-56.800897,0.0,0.0
2019-01-09 23:00:00,97.605362,-40.842800000000004,-56.762562,0.0,0.0
2019-01-10 00:00:00,86.904778,-33.12,-53.784778,0.0,0.0
2019-01-10 01:00:00,80.879438,-30.200000000000003,-50.679438,0.0,0.0
2019-01-10 02:00:00,76.649254,-27.360000000000003,-49.289254,0.0,0.0
2019-01-10 03:00:00,75.787892,-26.680000000000003,-49.107892,0.0,0.0
2019-01-10 04:00:00,77.356973,-26.919999999999998,-50.436973,0.0,0.0
2019-01-10 05:00:00,75.969514,-26.919999999999998,-49.049514,0.0,0.0
2019-01-10 06:00:00,79.247524,-28.960000000000004,-50.287524,0.0,0.0
2019-01-10 07:00:00,84.181578,-35.480000000000004,-48.701578,0.0,0.0
2019-01-10 08:00:00,86.42839,-43.6152,-43.226189,0.0,0.4129992
2019-01-10 09:00:00,96.393359,-49.8836,-46.677943,0.0,0.16818417
2019-01-10 10:00:00,101.44596,-52.535199999999996,-49.247129,0.0,0.33636833
2019-01-10 11:00:00,105.43353,-55.636,-50.032988,0.0,0.23545783
2019-01-10 12:00:00,111.00611,-56.348,-54.960844,0.0,0.3027315
2019-01-10 13:00:00,105.93553,-53.279999999999994,-53.361905,0.0,0.7063735
2019-01-10 14:00:00,110.48348,-50.3916,-60.327334,0.0,0.23545783
2019-01-10 15:00:00,109.90117,-47.5768,-62.358004,0.0,0.033636833
2019-01-10 16:00:00,111.40977,-49.9172,-61.492573,0.0,0.0
2019-01-10 17:00:00,116.35546,-56.9108,-59.444659,0.0,0.0
2019-01-10 18:00:00,117.2979,-57.239200000000004,-60.058703,0.0,0.0
2019-01-10 19:00:00,116.36908,-52.8032,-63.565881,0.0,0.0
2019-01-10 20:00:00,109.3888,-45.413199999999996,-63.9756,0.0,0.0
2019-01-10 21:00:00,101.40264,-41.2768,-60.125838,0.0,0.0
2019-01-10 22:00:00,100.20428,-40.152,-60.052281,0.0,0.0
2019-01-10 23:00:00,87.058811,-34.239999999999995,-52.818811,0.0,0.0
2019-01-11 00:00:00,78.986595,-27.239999999999995,-51.746595,0.0,0.0
2019-01-11 01:00:00,75.822011,-22.599999999999998,-53.222011,0.0,0.0
2019-01-11 02:00:00,80.219286,-20.16,-60.059286,0.0,0.0
2019-01-11 03:00:00,79.52307,-19.240000000000002,-60.28307,0.0,0.0
